1|0.25092867,0.09379674,0.08122873,0.2449296,0.1838532,0.15528361,-0.07852293,-0.17881992,-0.15422928,0.27391917,-0.1285428,-0.34908852,0.06575983,-0.22342266,-0.14317092,-0.093220286,-0.10926558,-0.041012555,0.04631349,0.3848905,-0.16458534,-0.12928961,-0.09345212,-0.27947935,0.24233319,-0.06920309,0.078845344,0.0023913048,-0.08038328,-0.06398988,0.17647271,0.15590817,0.51716065,-0.12852052,-0.061263297,-0.25509444,-0.15690874,-0.18903315,-0.31999427,0.10666466,-0.21533532,-0.038670816,-0.17173082,-0.040571433,-0.11837231,0.17195436,-0.48302093,0.20350017,-0.24260344,0.06427626,0.20017892,0.0773037,0.17593238,0.028852532,-0.30356362,0.04505539,0.121761605,0.19276749,0.121686734,0.025016002,-0.30054772,-0.09209122,0.37449792,-0.10619054,-0.24665503,-0.045851853,0.0044553266,0.3858313,0.08664145,0.110618,0.08113472,-0.04401863,0.061314832,-0.22881551,0.10137594,-0.35291272,-0.13122548,-0.47456992,-0.12964632,-0.06055062,0.05599039,-0.5910203,-0.18900804,0.43565804,0.015591153,-0.23459673,0.27363718,0.29122356,0.20891677,-0.029270211,-0.0316326,0.29359484,0.3187671,0.11026124,0.15846252,0.10465961,0.11751494,-0.07727055,-0.3530382,-0.37506825,-0.09747061,-0.2995788,-0.02912659,0.0063887597,0.1350859,-0.0732113,0.11154616,0.096350804,0.4112248,-0.019939613,0.20705655,0.04141021,0.08699589,-0.06604809,-0.3792496,0.0061542443,0.342946,0.36391103,0.16218452,0.13407165,-0.16914602,-0.25853118,0.3475253,0.19210047,-0.25124532,-0.1975031,0.25813946,-0.03160486
2|0.25092867,0.09379674,0.08122873,0.2449296,0.1838532,0.15528361,-0.07852293,-0.17881992,-0.15422928,0.27391917,-0.1285428,-0.34908852,0.06575983,-0.22342266,-0.14317092,-0.093220286,-0.10926558,-0.041012555,0.04631349,0.3848905,-0.16458534,-0.12928961,-0.09345212,-0.27947935,0.24233319,-0.06920309,0.078845344,0.0023913048,-0.08038328,-0.06398988,0.17647271,0.15590817,0.51716065,-0.12852052,-0.061263297,-0.25509444,-0.15690874,-0.18903315,-0.31999427,0.10666466,-0.21533532,-0.038670816,-0.17173082,-0.040571433,-0.11837231,0.17195436,-0.48302093,0.20350017,-0.24260344,0.06427626,0.20017892,0.0773037,0.17593238,0.028852532,-0.30356362,0.04505539,0.121761605,0.19276749,0.121686734,0.025016002,-0.30054772,-0.09209122,0.37449792,-0.10619054,-0.24665503,-0.045851853,0.0044553266,0.3858313,0.08664145,0.110618,0.08113472,-0.04401863,0.061314832,-0.22881551,0.10137594,-0.35291272,-0.13122548,-0.47456992,-0.12964632,-0.06055062,0.05599039,-0.5910203,-0.18900804,0.43565804,0.015591153,-0.23459673,0.27363718,0.29122356,0.20891677,-0.029270211,-0.0316326,0.29359484,0.3187671,0.11026124,0.15846252,0.10465961,0.11751494,-0.07727055,-0.3530382,-0.37506825,-0.09747061,-0.2995788,-0.02912659,0.0063887597,0.1350859,-0.0732113,0.11154616,0.096350804,0.4112248,-0.019939613,0.20705655,0.04141021,0.08699589,-0.06604809,-0.3792496,0.0061542443,0.342946,0.36391103,0.16218452,0.13407165,-0.16914602,-0.25853118,0.3475253,0.19210047,-0.25124532,-0.1975031,0.25813946,-0.03160486
3|0.0051244944,-0.10534756,0.13562527,-0.21366288,-0.03210534,-0.15078664,0.49854517,-0.17962614,-0.23341192,0.16947642,0.11930769,-0.09463009,-0.25497872,-0.008671746,-0.1982693,0.10629549,0.038768448,-0.42836186,-0.11182954,-0.02561214,0.18626028,-0.025882177,-0.44838384,0.042352434,-0.16473296,0.14849627,-0.1058363,0.13923585,-0.27364165,-0.17945014,-0.21346125,-0.009694461,0.0993882,-0.17336015,-0.17082202,-0.016239628,0.10218811,-0.0794491,-0.04109874,-0.08708957,-0.0063834637,0.4660179,-0.19239216,-0.02431387,-0.1749398,-0.10872315,-0.2750423,0.031718418,-0.032326143,-0.1682581,0.09327564,-0.090977125,0.36672193,-0.06726753,0.1085459,-0.20661649,0.41537955,0.0005533099,-0.2375013,0.34102216,-0.08060239,-0.17608589,0.1114642,-0.06198015,0.067324564,0.11847512,-0.25254357,0.14345193,0.21375555,-0.22489548,-0.04992348,0.0025773197,-0.31553698,-0.10458273,-0.32454354,-0.3150033,0.10141568,-0.32798308,-0.20490065,-0.33763698,0.022423081,-0.17274573,0.13608977,0.338501,0.031204548,-0.12227647,0.30689707,-0.0065263137,-0.010193594,0.010479994,0.060287844,0.09750621,0.19994247,0.03810242,0.28307813,-0.2620119,-0.14724533,-0.19195676,0.15055975,-0.22733915,-0.21726944,0.005269351,0.1117669,0.10977961,0.23168439,0.08182303,-0.13911897,-0.013374986,0.37473497,-0.26973113,0.16858587,-0.1967949,-0.08600445,0.053209312,0.019055009,-0.040552698,0.42579168,0.20065251,-0.0053623654,0.28490826,-0.16394904,-0.3332907,0.21522802,-0.1463022,-0.24116999,-0.36984003,-0.04929033,0.050967608
4|0.26848844,0.389218,-0.27338135,-0.28227177,-0.17155294,0.5118318,0.30310354,-0.41851142,-0.29274407,0.27152735,-0.3807898,-0.35033497,-0.062296808,0.015939599,0.03592093,-0.24456938,0.253141,0.05853352,0.003566743,0.3554084,-0.08470728,-0.124800354,-0.17846413,-0.17737174,0.17904456,0.055647314,-0.17562997,0.05791335,0.09952136,0.116833664,0.32476565,0.11609969,-0.022968022,-0.49963513,-0.11246046,-0.5136062,-0.11662673,-0.056683913,0.049701247,0.15877119,-0.12414148,-0.08547854,-0.07653191,-0.04435013,-0.37607297,-0.119574845,-0.55726147,-0.06721533,0.23171706,-0.04619415,0.45210898,0.24122952,0.49915895,-0.12793566,-0.42401603,-0.02206502,0.32471904,0.14442106,0.08965635,0.14980209,-0.45700082,0.011942563,-0.26617464,0.37503746,-0.20674975,-0.16363172,-0.110816516,0.23901255,0.17012823,-0.22913317,-0.033389393,-0.08120463,-0.2666687,0.19866915,-0.26195273,-0.5622678,0.067552455,-0.026284968,-0.20387435,0.30969507,0.3480394,-0.37884846,-0.21252929,0.45946348,-0.076173335,-0.2632898,0.220315,0.08822021,0.29055107,-0.10566738,0.049055155,-0.015207159,0.19197528,0.26011625,0.15165813,-0.24920054,0.0872095,0.005295714,-0.48052514,-0.113949634,0.29946992,-0.06728938,-0.42218268,0.38807034,0.0017737579,-0.30307522,0.025923029,-0.17375283,0.20514971,0.19663192,0.28763506,-0.13480711,-0.03529111,0.063332066,-0.22619133,0.12905021,0.37088895,0.41692582,0.16142763,-0.16366528,-0.29675314,-0.12278545,0.35860667,-0.16043538,-0.1742987,-0.26872924,0.20253594,0.28608873
5|0.15746759,0.15610237,0.039901342,-0.024916744,-0.090723716,-0.4087479,0.5758395,-0.30002448,-0.28527644,0.26260465,-0.13239999,-0.05813852,-0.08602029,-0.18740799,0.13288788,0.19506235,0.20618127,-0.10062826,0.178935,0.24348693,0.20213385,0.41228756,-0.47054574,0.026570013,-0.09683835,-0.37025997,-0.38327137,0.3649442,0.20215923,-0.07274892,-0.025832305,-0.04047559,0.43347684,-0.13452037,-0.12141921,-0.073413834,0.32522666,-0.1351554,0.18887998,0.34435692,-0.09882915,0.3152684,0.16994517,0.06710556,-0.56617165,0.07961009,-0.18522282,-0.24161994,0.0010333086,-0.24831052,0.54634655,0.3000411,0.47655654,-0.27881917,0.3121307,-0.075588055,0.27230284,0.07850189,-0.02941796,0.15505803,-0.11289638,-0.20897336,0.11917785,0.22888644,-0.2662923,-0.22245371,0.18480247,0.37115535,-0.012618761,-0.013608605,0.20686072,0.1570188,-0.42835322,-0.038009834,-0.46655384,-0.24689849,-0.09595051,-0.12813614,-0.24557947,0.28832713,0.53295016,-0.22938745,-0.017362112,0.44679084,0.2979106,-0.01743882,0.30959412,-0.3021581,0.07924468,0.036278237,-0.041029613,-0.069862045,0.09970976,0.15291344,0.3707602,-0.32494584,0.12825777,-0.37193862,-0.27370098,-0.10965999,0.100971915,0.13576637,0.017074252,0.17232674,0.28838512,0.046768557,0.3559396,-0.035069063,0.6894292,-0.09146166,0.2575447,0.35450816,-0.30254373,-0.15086453,-0.2546246,-0.16703252,0.36741373,0.22718199,-0.022052564,0.20016272,-0.26224527,0.011645354,0.20239025,-0.18076773,0.08420458,-0.4382687,0.08169731,0.1484432
6|0.13342883,0.106263325,-0.0053149546,-0.027283397,-0.107451096,-0.31919786,0.5856347,-0.3067459,-0.3643173,0.21593937,-0.17509355,-0.0014354624,-0.14572757,-0.16209358,0.16871107,0.092444405,0.26159257,-0.07136415,0.15087578,0.15850112,0.19924098,0.50863045,-0.5519354,0.06502627,-0.15025094,-0.3718916,-0.41388303,0.39088005,0.20190345,-0.02950569,0.01232769,0.0034494847,0.36412704,-0.11742915,-0.14804082,-0.015919473,0.3450005,-0.061508738,0.18633388,0.37634116,-0.06975054,0.20777462,0.15216118,0.025799826,-0.6103667,0.06386952,-0.14678735,-0.24884418,0.07660614,-0.29967284,0.53680533,0.23292446,0.49528086,-0.27083057,0.23283818,-0.12069418,0.23891398,0.09037163,-0.06048183,0.1191358,-0.14248799,-0.24992473,0.12815653,0.290563,-0.11463988,-0.24674222,0.10815932,0.31185418,-0.054486044,-0.16928658,0.20346373,0.13667333,-0.5777099,-0.08473314,-0.47367817,-0.2942859,-0.14783385,-0.12039861,-0.2474468,0.26754335,0.5356651,-0.22407512,0.011277396,0.50918156,0.36970118,0.07246427,0.22675714,-0.34235248,0.050583884,0.08844109,0.016536139,0.045024097,0.10131329,0.195695,0.39734018,-0.33974,0.14232153,-0.3538587,-0.23592857,-0.08319952,0.09867336,0.16345653,-0.060745098,0.17224734,0.22269341,0.06634558,0.3000821,0.022640552,0.66561836,-0.09917486,0.22145441,0.28859973,-0.20345685,-0.061563976,-0.12428834,-0.15190138,0.27600476,0.14725992,0.005800437,0.2005316,-0.27140027,-0.07956694,0.28043246,-0.22638491,0.09443823,-0.44289815,0.10698132,0.14892682
7|0.17086266,0.20127942,-0.02617769,-0.0021033634,-0.10183891,-0.3839517,0.6999428,-0.38082102,-0.32717294,0.21258335,-0.17168121,-0.026110135,-0.13563998,-0.22228341,0.17236699,0.13536514,0.2755033,-0.14306797,0.13921866,0.21375501,0.24350984,0.58416533,-0.53215104,0.07536359,-0.12829812,-0.3787187,-0.44102064,0.3889629,0.22037876,-0.047276318,-0.00044135252,-0.052049387,0.40937102,-0.13371591,-0.18960671,-0.012193809,0.34091243,-0.08509562,0.27522206,0.4284413,-0.07661728,0.2985426,0.18297774,0.008341779,-0.65579635,0.09226513,-0.17986012,-0.26702556,0.058586944,-0.3355609,0.5710407,0.24545391,0.45108297,-0.274021,0.24731012,-0.090001136,0.25640586,0.061919916,-0.10626743,0.12195819,-0.13317116,-0.19160737,0.073212914,0.36773324,-0.1764946,-0.24733114,0.1360666,0.3484281,-0.0687756,-0.08148124,0.22662954,0.16812466,-0.57450396,-0.04298367,-0.4688004,-0.28504723,-0.12592101,-0.09653184,-0.28069702,0.3111037,0.6255544,-0.24102707,-0.006357906,0.50903255,0.39049467,0.06364382,0.21254706,-0.34101716,-0.0071717105,0.11386671,0.005821953,-0.032040756,0.14599167,0.17369407,0.44945553,-0.37577534,0.12739469,-0.46754465,-0.24919315,-0.08276055,0.14129972,0.16708578,-0.018213073,0.27034727,0.25747505,-0.0028662507,0.35373268,0.005145962,0.76978254,-0.12024125,0.23004901,0.3472476,-0.2560649,-0.07748736,-0.18189557,-0.18460073,0.37174535,0.17822635,0.015064438,0.20721287,-0.32393026,0.0073142424,0.25872257,-0.17971627,0.11033755,-0.49629942,0.11978605,0.18702483
8|0.09186379,0.013411924,-0.41616106,-0.11641592,0.00917131,-0.009782749,0.2903468,-0.2534733,0.1628294,0.29659387,-0.32414126,-0.21539325,-0.00097540516,0.053208258,0.08919559,0.21471071,0.31201577,-0.63545376,-0.05328761,0.47467986,-0.108719885,0.06803542,-0.50600547,0.07281574,-0.24324834,-0.07788678,-0.0023186505,0.5093995,-0.15783124,-0.26898453,-0.38464502,-0.046154086,0.18723793,-0.15924843,-0.24611235,-0.07879516,-0.106885724,-0.030483449,-0.1705507,-0.0895597,-0.17359473,0.45390895,-0.28975245,-0.046117257,-0.3553798,-0.38778225,0.10714377,0.032670986,0.26181984,0.11923351,0.22550671,0.04132209,0.23868243,-0.13533838,-0.084385514,-0.35825709,0.27447137,0.17939956,-0.059580613,0.2004935,-0.14351027,0.14471488,0.22668023,-0.043959722,0.08651778,0.07740886,-0.34368956,0.18378496,0.0023234214,-0.5447751,0.044837207,-0.11900822,-0.5246774,-0.06435775,-0.1600934,-0.43873855,0.07772524,-0.49751964,-0.16526906,0.033320215,0.21550612,-0.4566743,-0.20400597,0.19985396,-0.048477907,0.17202754,0.5382164,0.16945939,0.17716245,-0.11273795,0.20414114,-0.3051078,0.032853413,0.3629154,0.11596035,0.093694545,-0.09417369,-0.2958614,-0.14460804,0.03508771,0.005575761,-0.026954034,0.3761824,0.58282936,0.259457,-0.030032957,-0.16774096,-0.035442296,0.50972515,0.15093075,-0.0134589225,-0.07788142,0.016400447,0.40647188,-0.35878864,0.026423937,0.5802404,0.14751285,0.15730684,0.43652543,-0.12509269,-0.19878872,-0.0386442,-0.3197749,0.07044654,-0.42080584,-0.16638887,0.07536017
9|0.012433399,0.16785611,-0.63967216,-0.11482961,0.043827303,0.19198084,0.2226223,-0.034516063,0.08866389,0.12837473,-0.41529357,-0.17700446,0.040492363,-0.013702516,0.076944426,0.19885164,0.39117196,-0.6578172,0.077191725,0.17099196,-0.35141334,-0.030014055,-0.34170097,0.07283403,-0.26787925,-0.10720741,0.16806248,0.25929904,-0.15610309,-0.13675928,-0.34899068,-0.17641993,-0.14691523,-0.13324107,-0.3346636,0.13146369,-0.07029731,0.06586165,-0.3164205,-0.16124433,-0.029492412,0.29718766,-0.01771781,0.103282094,-0.33736163,-0.14416863,0.0431271,-0.033980582,0.27196044,-0.21201675,0.07360071,0.03603401,0.42888385,-0.19705631,0.017139155,-0.4951234,0.30589557,0.30919704,-0.016070187,-0.054324955,-0.10084997,-0.1641052,0.064182,-0.27843705,0.2085876,0.026588224,-0.2945976,0.023105403,-0.115257464,-0.57918024,0.044615746,-0.14460106,-0.5964194,-0.10589112,-0.30320543,-0.28693035,0.12885493,-0.2586289,-0.13565186,0.013332935,0.02967705,-0.4395679,-0.033820543,0.12390439,0.06975293,0.0004823509,0.3095299,0.06348806,0.2752272,-0.16463338,0.21741992,-0.156456,0.19884916,0.47470477,0.029045437,0.033796735,-0.15291105,-0.07915564,-0.023960425,0.018049788,0.012150278,0.013768222,0.18932082,0.5294526,0.25041997,-0.080226,-0.06471988,-0.053464692,0.37227878,0.04725258,-0.041997135,0.00738136,0.17636819,0.28187022,-0.08827316,0.06173014,0.4537412,0.059117816,0.24786624,0.28821534,-0.18669985,-0.2552401,-0.043827023,-0.2530762,0.14830017,-0.4169281,-0.15808575,-0.031709913
10|-0.13766213,-0.33973908,0.23911938,0.119096145,-0.031174583,-0.0655329,0.54995763,-0.33977267,-0.24658951,0.10598804,-0.16848713,-0.09938822,0.06845702,-0.12515746,-0.04350425,-0.008636349,0.12305609,-0.06110002,-0.14680015,0.0073168324,0.19812907,0.2878853,-0.5579138,-0.06873008,0.015582121,-0.10055181,-0.40961042,0.4060199,-0.041971136,0.03605204,-0.14036769,0.17185542,0.2057531,-0.34745094,0.10725843,-0.22325839,0.041870628,-0.05572041,0.3110906,-0.03364428,-0.1057287,-0.022270078,0.024098404,-0.17225212,-0.48692244,-0.08401867,-0.023674397,-0.24947989,0.15797411,-0.112550676,0.46936864,0.14047217,0.32358232,-0.039978478,-0.3595786,-0.13257459,0.20685746,0.0032619683,-0.1820884,0.321781,-0.22737929,-0.1640927,0.28696343,0.23451295,-0.13924739,0.018245887,-0.098283686,0.22752595,0.13027354,-0.20712613,-0.05332841,-0.017968968,-0.5713943,0.102552235,-0.3359165,-0.49386588,-0.25441456,-0.36178598,-0.018490091,0.012950203,0.32846525,0.0826382,0.03316162,0.5161878,0.1045511,0.22267279,0.17865133,-0.21704288,0.09066638,-0.041761313,-0.030500479,0.2705964,0.08050146,0.14725764,0.14413999,-0.1556397,0.07996177,0.040892802,-0.26697057,-0.2283938,-0.055670615,0.11274118,-0.07634035,0.03388004,0.00096119824,0.08477323,0.08740742,-0.047662996,0.34521127,0.069932014,0.34981123,-0.064087614,-0.040144876,0.09346152,0.029625148,-0.16805854,0.27543122,0.010939736,0.07938359,0.1877711,-0.15106945,-0.23436005,0.22697608,-0.29817864,0.11904494,-0.16687109,0.02278272,-0.088974886
